Id,JobTitle,Company,Location,Salary,TypeofJob,Description,Require,MoreInfo
2666,"FRONT-END DEVELOPER (ReactJS, VueJS, TypeScript)",Citynow Technology Solutions,"Quận 3, Hồ Chí Minh",Thương lượng,"Gia công phần mềm, Product",,"JavaScript, Front-End, ReactJS, VueJS, TypeScript",https://topdev.vn/viec-lam/front-end-developer-reactjs-vuejs-typescript-citynow-technology-solutions-2026864
2667,BUSINESS ANALYST,Citynow Technology Solutions,"Quận 3, Hồ Chí Minh",Thương lượng,"Gia công phần mềm, Product",,Business Analyst,https://topdev.vn/viec-lam/business-analyst-citynow-technology-solutions-2026865
2668,"Digital Banking Technical Officer - Chuyên viên Công nghệ thông tin Ngân hàng số (Java, .NET)",Ngân hàng Đầu tư và Phát triển Campuchia (BIDC),None,"1,000 - 1,500 USD",Ngân Hàng,,"Java, .NET",https://topdev.vn/viec-lam/digital-banking-technical-officer-chuyen-vien-cong-nghe-thong-tin-ngan-hang-so-java-net-ngan-hang-dau-tu-va-phat-trien-campuchia-bidc-2026867
2669,"Java Developer (Fresher, Junior) ~ $1,500",DAC DATA TECHNOLOGY - HANOI OFFICE,"Quận Đống Đa, Hà Nội","Lên tới 1,500 USD",Phần Mềm,,"Java, Spring Boot, Spring",https://topdev.vn/viec-lam/java-developer-fresher-junior-1-500-dac-data-technology-hanoi-office-2026866
2670,"Java Developer (Fresher, Junior) ~ $1,500",DAC DATA TECHNOLOGY - HANOI OFFICE,"Quận Đống Đa, Hà Nội","Lên tới 1,500 USD",Phần Mềm,,"Java, Spring Boot, Spring",https://topdev.vn/viec-lam/java-developer-fresher-junior-1-500-dac-data-technology-hanoi-office-2026866
2671,Python Developer (Django/ Odoo),CÔNG TY CỔ PHẦN CÔNG NGHỆ & SÁNG TẠO TRẺ TEKY HOLDINGS,"Quận Hà Đông, Hà Nội","Lên tới 30,000,000 VND","Giáo dục, Công nghệ thông tin",,"Django, Python, Odoo, Back-End",https://topdev.vn/viec-lam/python-developer-django-odoo-cong-ty-co-phan-cong-nghe-sang-tao-tre-teky-holdings-2026868
2672,ReactJS/ React Native Developer,Bkav,"Quận Cầu Giấy, Hà Nội","600 - 1,500 USD","Dịch vụ IT, Phần Mềm",,"ReactJS, React Native",https://topdev.vn/viec-lam/reactjs-react-native-developer-bkav-2026897
2673,ITC INTERNSHIP (DEV/TESTER/BA),ITC Group,"Quận Tân Phú, Hồ Chí Minh",Thương lượng,"Phần Mềm, Outsourcing",,"Tester, Business Analyst, Java, JavaScript, .NET, PHP",https://topdev.vn/viec-lam/itc-internship-dev-tester-ba-itc-group-2026869
2674,Java Developer ~ Up to 1500$,Bkav,"Quận Cầu Giấy, Hà Nội","Lên tới 1,500 USD","Dịch vụ IT, Phần Mềm",,"Java, MySQL, Spring, Database",https://topdev.vn/viec-lam/java-developer-up-to-1500-bkav-2026898
2675,JAVA DEVELOPER,DigiCommerce Group Inc,"Quận Bình Thạnh, Hồ Chí Minh - Quận Thanh Khê, Đà Nẵng",Thương lượng,Thương mại điện tử/ Bán lẻ,,"Back-End, Web Developer, Java Core, Spring, JavaEE",https://topdev.vn/viec-lam/java-developer-digicommerce-group-inc-2027024
2676,Mobile App Developer (React Native),ZOI.TECH SGN,"Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,,"CSS, JavaScript, HTML, React Native, Redux, TypeScript",https://topdev.vn/viec-lam/mobile-app-developer-react-native-zoi-tech-sgn-2026900
2677,HOT Data Analyst (Risk analytics),GeoComply (GeoTech Hub Vietnam),"Quận 1, Hồ Chí Minh",Thương lượng,"Công nghệ thông tin, Software","At GeoComply, our mission is to empower the future of digital trust. We operate at the center of a new generation of cybersecurity companies, leveragi...","Python, Data Analytics",https://topdev.vn/viec-lam/data-analyst-risk-analytics-geocomply-geotech-hub-vietnam-2027026
2678,HOT Business Data Analyst,GeoComply (GeoTech Hub Vietnam),"Quận 1, Hồ Chí Minh",Thương lượng,"Công nghệ thông tin, Software","At GeoComply, our mission is to empower the future of digital trust. We operate at the center of a new generation of cybersecurity companies, leveragi...","SQL, Data Analyst",https://topdev.vn/viec-lam/business-data-analyst-geocomply-geotech-hub-vietnam-2027027
2679,TESTER,DATX Vietnam,"Quận Hai Bà Trưng, Hà Nội",Thương lượng,Fintech,,Tester,https://topdev.vn/viec-lam/tester-datx-vietnam-2027032
2680,"Software Engineer (C/C++, Android) - HN",LG VS DCV (LG Vehicle Component Solutions Development Center Vietnam),"Quận Nam Từ Liêm, Hà Nội",Thương lượng,Phần Mềm,The LG Vehicle Component Solutions Company focuses on commercializing autonomous and environmentally responsible automotive components and core soluti...,"Android, OOP, C++, Java, QT Framework, Embedded",https://topdev.vn/viec-lam/software-engineer-c-c-android-hn-lg-vs-dcv-lg-vehicle-component-solutions-development-center-vietnam-2027034
2681,SOFTWARE BACKEND DEVELOPER,AgeCode,"Quận 1, Hồ Chí Minh","1,000 - 2,500 USD",Gia công phần mềm,We are looking for Backend Developer who proficient in any backend language,"PHP, Java, NodeJS, Golang, Ruby, Back-End",https://topdev.vn/viec-lam/software-backend-developer-agecode-2027033
2682,HOT Kỹ Sư Phát Triển Phần Mềm - Đà Nẵng,LG VS DCV (LG Vehicle Component Solutions Development Center Vietnam),"Quận Liên Chiểu, Đà Nẵng",Thương lượng,Phần Mềm,,"Android, OOP, C++, Java, QT Framework, Embedded",https://topdev.vn/viec-lam/ky-su-phat-trien-phan-mem-da-nang-lg-vs-dcv-lg-vehicle-component-solutions-development-center-vietnam-2027035
2683,HOT .NET developer (m/f/d),ZOI.TECH SGN,"Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,Enjoy the magical world between big-name industry clients and a thriving nerd space. Come to the bright side of IT. Do you love a buzzing startup s...,"C#, .NET, .NET Core",https://topdev.vn/viec-lam/net-developer-m-f-d-zoi-tech-sgn-2027078
2684,"Thiết kế đồ họa cho game 2D/3D (Artist, UI/UX, Animator)",CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ THÔNG TIN CUCKOOKOO,"Quận Gò Vấp, Hồ Chí Minh","500 - 2,000 VND","Software, Information Technology","Cuckookoo cần tuyển đội ngũ game artist để phát triển các game thể loại casual, puzzle, action, sport cho công ty theo định hướng metaverse. Các vị t...","UX/UI Design, Photoshop, Illustrator, Sketch, 3D Artist, Graphic Design, Motion Graphic Design, Design",https://topdev.vn/viec-lam/thiet-ke-do-hoa-cho-game-2d-3d-artist-ui-ux-animator-cong-ty-co-phan-giai-phap-cong-nghe-thong-tin-cuckookoo-2026464
2685,WordPress Developer,IELTS Vietop,"Quận Phú Nhuận, Hồ Chí Minh","15,000,000 - 20,000,000 VND",Giáo dục,"Lĩnh vực: Du học, tiếng anh, IELTS; Làm việc full-time (toàn thời gian) khu vực Phú Nhuận; Thử việc 02 tháng; Môi trường làm việc trẻ, có tính cạ...","PHP, MySQL, WordPress",https://topdev.vn/viec-lam/wordpress-developer-ielts-vietop-2026466
2686,QC Engineer (Nha Trang),Infodation,"Thành phố Nha Trang, Khánh Hòa",Thương lượng,Phần Mềm,QC Engineer helps work on improving software by dealing with finding and fixing all kinds of flaws. QC plays a key role behind each successful and hig...,"QC, Automation Tester, Agile & Scrum, English, Manual Test",https://topdev.vn/viec-lam/qc-engineer-nha-trang-infodation-2026462
2687,Front-end Developer (NodeJS/ReactJS/JavaScript/VueJS),THL ONE,"Quận 12, Quận 12 - Hồ Chí Minh",Thương lượng,"Phần Mềm, Dịch vụ IT, Gia công phần mềm, Outsourcing",,"JavaScript, NodeJS, Front-End, ReactJS, VueJS",https://topdev.vn/viec-lam/front-end-developer-nodejs-reactjs-javascript-vuejs-thl-one-2026479
2688,Back-end Developer (NodeJS),100Man,"Quận Thanh Xuân, Hà Nội","20,000,000 - 25,000,000 VND",Fintech,,"NodeJS, Back-End",https://topdev.vn/viec-lam/back-end-developer-nodejs-100man-2026468
2689,Junior Front-end Developer,Công Nghệ VMAX,"Quận 1, Hồ Chí Minh","300 - 1,000 USD",Phần Mềm,,"CSS, JavaScript, HTML, Bootstrap, Front-End",https://topdev.vn/viec-lam/junior-front-end-developer-cong-nghe-vmax-2026469
2690,Business Analyst (BA) – MES Consultant,THL ONE,"Quận 12, Quận 12 - Hồ Chí Minh",Thương lượng,"Phần Mềm, Dịch vụ IT, Gia công phần mềm, Outsourcing",,Business Analyst,https://topdev.vn/viec-lam/business-analyst-ba-mes-consultant-thl-one-2026478
2691,Java Developer,THL ONE,"Quận 12, Quận 12 - Hồ Chí Minh",Thương lượng,"Phần Mềm, Dịch vụ IT, Gia công phần mềm, Outsourcing",,"Java, Spring, Java Core",https://topdev.vn/viec-lam/java-developer-thl-one-2026480
2692,Mobile Developer (iOS/Android),THL ONE,"Quận 12, Quận 12 - Hồ Chí Minh",Thương lượng,"Phần Mềm, Dịch vụ IT, Gia công phần mềm, Outsourcing",- Building Mobile App for Android & iOS. - Make sure the app runs on all Android & iOS versions. - Working with team to plan and implement projects. -...,"Swift, iOS, Mobile, xCode, Kotlin, Android",https://topdev.vn/viec-lam/mobile-developer-ios-android-thl-one-2026481
2693,"03 IT SYSTEM (AWS, LINUX ADMIN)",BIN CORPORATION GROUP VIỆT NAM,"Quận 7, Hồ Chí Minh","10,000,000 - 20,000,000 VND","Dịch vụ doanh nghiệp, Thương mại điện tử/ Bán lẻ, Quảng Cáo Truyền Thông, Phần Mềm, Bất động sản, Tài Chính",BIN CORPORATION GROUP là công ty PRODUCT (IN HOUSE) với kinh nghiệm 13 năm phát triển các Dự án Thương mại điện tử Quốc tế CHUYÊN phục vụ thị trường k...,"Linux, AWS, IT Manager",https://topdev.vn/viec-lam/03-it-system-aws-linux-admin-bin-corporation-group-viet-nam-2026482
2694,Python Developer | Up to $2000,Hybrid Technologies,"Quận Cầu Giấy, Hà Nội","Lên tới 2,000 USD",Gia công phần mềm,,"Django, Python, Back-End",https://topdev.vn/viec-lam/python-developer-up-to-2000-hybrid-technologies-2026483
2695,.NET CORE DEVELOPER,Restaff - House of Norway,"Quận 3, Hồ Chí Minh",Thương lượng,Phần Mềm,,".NET, .NET Core, ASP.NET Core",https://topdev.vn/viec-lam/net-core-developer-restaff-house-of-norway-2026598
2696,Java Developer (HN/HD),YODY Fashion,"Thành phố Hải Dương, Hải Dương - Quận Thanh Xuân, Hà Nội","18,000,000 - 35,000,000 VND",Thương mại điện tử/ Bán lẻ,"Với tầm nhìn trở thành Công ty thời trang số 1 Việt Nam, IPO vào năm 2025, YODY chiêu mộ anh em Công nghệ thông tin về YODY FASHION TECH với chủ đề CẤ...","Java, Java Spring Boot, Spring",https://topdev.vn/viec-lam/java-developer-hn-hd-yody-fashion-2026599
2697,Unity Game Developer,Lucky Tech,"Quận 11, Hồ Chí Minh","Lên tới 30,000,000 VND",Phần Mềm,,"NodeJS, C#/ Oop/ Net Framwork, Blockchain, Unity3d, Network",https://topdev.vn/viec-lam/unity-game-developer-lucky-tech-2026605
2698,ReactJS Developer (HN/HD),YODY Fashion,"Quận Thanh Xuân, Hà Nội - Thành phố Hải Dương, Hải Dương","18,000,000 - 35,000,000 VND",Thương mại điện tử/ Bán lẻ,"Với tầm nhìn trở thành Công ty thời trang số 1 Việt Nam, IPO vào năm 2025, YODY chiêu mộ anh em Công nghệ thông tin về YODY FASHION TECH với chủ đề CẤ...","HTML5, JavaScript, Git, ReactJS",https://topdev.vn/viec-lam/reactjs-developer-hn-hd-yody-fashion-2026600
2699,Blockchain Developer,Lucky Tech,"Quận 11, Hồ Chí Minh","Lên tới 25,000,000 VND",Phần Mềm,,"Redux, Blockchain, Solidity, React, Rust",https://topdev.vn/viec-lam/blockchain-developer-lucky-tech-2026603
2700,Kỹ sư phát triển phần mềm (Software Engineer),Viettel Solutions,"Quận Nam Từ Liêm, Hà Nội","15,000,000 - 40,000,000 VND",Phần Mềm,,"Android, iOS, Java, JavaScript, Python, ReactJS, C/C++",https://topdev.vn/viec-lam/ky-su-phat-trien-phan-mem-software-engineer-viettel-solutions-2026650
2701,Chuyên viên Phân tích nghiệp vụ (Business Analyst),Viettel Solutions,"Quận Nam Từ Liêm, Hà Nội","15,000,000 - 40,000,000 VND",Phần Mềm,,Business Analyst,https://topdev.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-business-analyst-viettel-solutions-2026649
2702,IT HELPDESK,Citynow Technology Solutions,"Quận 3, Hồ Chí Minh",Thương lượng,"Gia công phần mềm, Product",,IT Helpdesk,https://topdev.vn/viec-lam/it-helpdesk-citynow-technology-solutions-2026651
2703,Fresher Java/ .NET Software Engineer,KMS Technology,"Quận Hải Châu, Đà Nẵng - Quận Tân Bình, Hồ Chí Minh - Quận Tân Bình, Hồ Chí Minh - Quận 3, Hồ Chí Minh",Thương lượng,"Dịch vụ IT, Gia công phần mềm, Phần Mềm, Product",The Brilliant Career You Love Are you passionate about innovative software development and be eager to sharpen your expertise every day? Do you want...,"Java, .NET, ASP.NET, C#, Spring",https://topdev.vn/viec-lam/fresher-java-net-software-engineer-kms-technology-2026646
2704,Fresher Test Engineer (QA/QC/Tester),KMS Technology,"Quận Hải Châu, Đà Nẵng - Quận Tân Bình, Hồ Chí Minh - Quận Tân Bình, Hồ Chí Minh - Quận 3, Hồ Chí Minh",Thương lượng,"Dịch vụ IT, Gia công phần mềm, Phần Mềm, Product",The Brilliant Career You Love  Are you passionate about software testing and be eager to sharpen your expertise every day? Do you want to be a part...,"Automation Tester, Manual Tester, QA, QC, Tester",https://topdev.vn/viec-lam/fresher-test-engineer-qa-qc-tester-kms-technology-2026647
2705,Senior .NET Developer,NGÂN HÀNG Á CHÂU (ACB),"Quận 3, Hồ Chí Minh",Thương lượng,Ngân Hàng,,".NET, .NET Core, ASP.NET, Entity Framework",https://topdev.vn/viec-lam/senior-net-developer-ngan-hang-a-chau-acb-2026661
2706,Senior Golang Engineer,Money Forward Vietnam,"Quận Cầu Giấy, Hà Nội",Thương lượng,Phần Mềm,"TOP 3 REASONS TO JOIN US  Competitive salary & benefits Flexible working time, no OT Employee growth support","Golang, Back-End, Web Developer",https://topdev.vn/viec-lam/senior-golang-engineer-money-forward-vietnam-2026653
2707,"Back-End Team Leader (Java, Spring)",VINCERE,"Quận 1, Hồ Chí Minh","Lên tới 4,500 USD",Phần Mềm,"You are a talented and passion driven individual who values working in a fast-growing environment, delivering high quality client-oriented services...","Agile, Java, MySQL, REST API, PostgreSQL, Web Application, Spring, Kafka",https://topdev.vn/viec-lam/back-end-team-leader-java-spring-vincere-2026654
2708,Mobile Lead - T3023,CMC Global,"Quận 7, Hồ Chí Minh",Thương lượng,Phần Mềm,,"Mobile, Android, iOS",https://topdev.vn/viec-lam/mobile-lead-t3023-cmc-global-2026662
2709,[Remote] PHP Developer (WordPress/Laravel),Hexience,"Quận Thanh Xuân, Hà Nội - Quận 1, Hồ Chí Minh - Quận Thanh Khê, Đà Nẵng",Thương lượng,"Phần Mềm, Internet, Outsourcing, E-commerce Platforms, Fintech","Hexience is a technology services company based in Hong Kong. Our services include, software and mobile app development, electronics & embedded system...","PHP, JavaScript, Back-End, Magento, Laravel, Symfony, CodeIgniter, WordPress",https://topdev.vn/viec-lam/remote-php-developer-wordpress-laravel-hexience-2026666
2710,Mobile Lead - T3023,CMC Global,"Quận 7, Hồ Chí Minh",Thương lượng,Phần Mềm,,"Mobile, Android, iOS",https://topdev.vn/viec-lam/mobile-lead-t3023-cmc-global-2026662
2711,Project Manager,Wise Commerce,"Quận Đống Đa, Hà Nội",Thương lượng,Phần Mềm,"Corporate Overview Founded in 2015, WISE COMMERCE is on the path to creating a global digital commerce community for brands and companies in the comme...",Project Manager,https://topdev.vn/viec-lam/project-manager-wise-commerce-2026667
2712,"Business Intelligence Leader (SQL, Python, Power BI)","NEYU Ltd.,","Quận 3, Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,"Our Group is a top-rank direct sales company in South-East Asia, we are in Vietnam, Indonesia, Thailand and Malaysia with a global team of over 800 pe...","SQL, Python, Business Intelligence, Technical Engineer",https://topdev.vn/viec-lam/business-intelligence-leader-sql-python-power-bi-neyu-ltd-2026762
2713,QA/QC Engineer (Software Tester),METASOURCE,"Quận 3, Hồ Chí Minh","23,000,000 - 40,000,000 VND",Dịch vụ doanh nghiệp,We are currently looking for a talented quality control or tester to join our fast-growing company to work on developing and marketing our state of th...,"QC, Tester, Problem Solving Skill, English",https://topdev.vn/viec-lam/qa-qc-engineer-software-tester-metasource-2026816
2714,IT Solution Architect (Major in Core Banking),Ngân hàng Quốc Tế VIB,"Quận 1, Hồ Chí Minh - Quận Hoàn Kiếm, Hà Nội",Thương lượng,Ngân Hàng,,"AWS, Azure, Cloud, Solution Architect",https://topdev.vn/viec-lam/it-solution-architect-major-in-core-banking-ngan-hang-quoc-te-vib-2026845
2715,Cloud IT Solution Architect,Ngân hàng Quốc Tế VIB,"Quận 1, Hồ Chí Minh - Quận Hoàn Kiếm, Hà Nội",Thương lượng,Ngân Hàng,,"Core Banking, Solution Architect, Oracle ERP Cloud, Web Application, Cloud, Google Cloud Platform - Rollbar",https://topdev.vn/viec-lam/cloud-it-solution-architect-ngan-hang-quoc-te-vib-2026846
2716,QC Engineer,ANTSOMI,"Quận Bình Thạnh, Hồ Chí Minh",Lên tới 700 USD,Phần Mềm,Position: QC Engineer Quantity: 02 Position type: Full-time,"QC, Automation Tester, Manual Tester",https://topdev.vn/viec-lam/qc-engineer-antsomi-2026847
2717,PHP Developer,NEOLAB VIỆT NAM (Đà Nẵng),"Quận Hải Châu, Đà Nẵng","1,000 - 1,800 USD",Phần Mềm,3 Reasons You'll love our job: Exciting Projects Attractive Offer Talented Developers,"PHP, Laravel, Symfony, CodeIgniter",https://topdev.vn/viec-lam/php-developer-neolab-viet-nam-da-nang-2026848
2718,Business Analyst (Up To 40tr vnđ),Tập Đoàn Belief Holdings,"Quận Đống Đa, Hà Nội","20,000,000 - 40,000,000 VND",Công nghệ thông tin,,"Business Analyst, Agile, UX/UI Design, Business Analyst",https://topdev.vn/viec-lam/business-analyst-up-to-40tr-vnd-tap-doan-belief-holdings-2026850
2719,PHP WEB DEVELOPER,Ceres Solutions,"Quận Tân Bình, Hồ Chí Minh","Lên tới 40,000,000 VND",Phần Mềm,,"PHP, MySQL, Yii, Laravel",https://topdev.vn/viec-lam/php-web-developer-ceres-solutions-2026852
2720,[All Levels] QA - QC - Tester,CB/I Digital,"Quận 3, Hồ Chí Minh",Thương lượng,"Product, Phần Mềm","Chí Doanh đang tìm kiếm các bạn Fresher hoặc Junior, Senior QA/QC/Tester có 1-2 năm kinh nghiệm trong mảng kiểm thử phần mềm, website thươn...","Tester, QA, QC, Manual Test",https://topdev.vn/viec-lam/all-levels-qa-qc-tester-cb-i-digital-2026853
2721,03 Web Developers (Junior/Senior),Công ty TNHH TM-DV XNK Ecombest,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,"Founded in 2016, Ecombest is a Cross-border E-Commerce company based in Vietnam, and mainly focuses on global markets such as the US, Canada, Europe...","JavaScript, MySQL, NodeJS, TypeScript, AWS, Java, Full-Stack",https://topdev.vn/viec-lam/03-web-developers-junior-senior-cong-ty-tnhh-tm-dv-xnk-ecombest-2026851
2722,BA (Business Analyst),CB/I Digital,"Quận 3, Hồ Chí Minh",Thương lượng,"Product, Phần Mềm","Vị trí Business Analyst tại Chí Doanh làm việc trực tiếp với khách hàng ở các dự án công nghệ tại Mỹ và Việt Nam, thu thập yêu cầu từ khách hàng, phân...","Business Analyst, UX/UI Design",https://topdev.vn/viec-lam/ba-business-analyst-cb-i-digital-2026854
2723,Back-end Developer (NodeJS),CB/I Digital,"Quận 3, Hồ Chí Minh","900 - 1,700 USD","Product, Phần Mềm","We are looking for a capable Back-end Developer (NodeJS) to join our team to build the finest website, applications for our clients in the U.S. and Vi...","JavaScript, NodeJS, Back-End, TypeScript",https://topdev.vn/viec-lam/back-end-developer-nodejs-cb-i-digital-2026855
2724,Senior UX/UI Designer,Beincomm,"Quận 7, Hồ Chí Minh","Lên tới 1,400 USD","Giáo dục, Phần Mềm","Beincomm is building a social community network, powered by our own native blockchain, to disrupt the industry and give back the power to communities...","Agile, UX/UI Design, IT Auditor",https://topdev.vn/viec-lam/senior-ux-ui-designer-beincomm-2026857
2725,HOT Kỹ sư cầu nối - BrSE (Tiếng Nhật N2),Talent Success,Hồ Chí Minh,"2,000 - 2,500 USD",Human Resource,"Our client is a Japanese company, working in Development Business and providing Product Development Outsourcing Services. Now, they are looking for Br...","Japanese - N2, BrSE",https://topdev.vn/viec-lam/ky-su-cau-noi-brse-tieng-nhat-n2-talent-success-2026859
2726,JUNIOR/MIDDLE REACTJS DEVELOPER,Ceres Solutions,"Quận Tân Bình, Hồ Chí Minh","Lên tới 40,000,000 VND",Phần Mềm,,"AngularJS, Front-End, ReactJS, VueJS, Redux, NextJS",https://topdev.vn/viec-lam/junior-middle-reactjs-developer-ceres-solutions-2026856
2727,NodeJS Developer,TAPTAP,"Quận 1, Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,,"MongoDB, REST API, elasticsearch, NodeJS",https://topdev.vn/viec-lam/nodejs-developer-taptap-2026860
2728,Data Engineer (Oracle Golden Gate/ IBM Data Stage/ Oracle Data Integrator),FE CREDIT,"Quận 4, Hồ Chí Minh",Thương lượng,Fintech,"OBJECTIVE: Enhance and create Data Warehousing Applications throughout responsible for the documentation, production support/ troubleshooting, and t...","Oracle, SQL, Database Administrator, Data Engineer, PL/SQL",https://topdev.vn/viec-lam/data-engineer-oracle-golden-gate-ibm-data-stage-oracle-data-integrator-fe-credit-2026879
2729,Senior Data Analysis - Credit Bureau,FE CREDIT,"Quận 4, Hồ Chí Minh",Thương lượng,Fintech,"OBJECTIVES Contact point of company to work and build relationship with telco data company, 3rd party score and other Data Enrichment vendors to cont...","SQL, Data Analytics, Data Reporting Analyst",https://topdev.vn/viec-lam/senior-data-analysis-credit-bureau-fe-credit-2026880
2730,Full-Stack Developer,SHIFT ASIA,"Quận 1, Hồ Chí Minh","Lên tới 3,500 USD",Phần Mềm,,"PHP, Magento, Java, JavaScript, Ruby on Rails, Python, NodeJS, REST API, ReactJS",https://topdev.vn/viec-lam/full-stack-developer-shift-asia-2026893
2731,Front-End Developer (VueJs),FireGroup Technology,"Quận 11, Hồ Chí Minh","700 - 2,000 USD",Phần Mềm,,"JavaScript, Front-End, VueJS",https://topdev.vn/viec-lam/front-end-developer-vuejs-firegroup-technology-2026894
2732,"DATA PLATFORM MANAGER (Up to $4,000)","NEYU Ltd.,","Quận 3, Hồ Chí Minh","Lên tới 4,000 USD",Thương mại điện tử/ Bán lẻ,"Our Group is a top-rank direct sales company in South-East Asia, we are in Vietnam, Indonesia, Thailand and Malaysia with a global team of over 800 pe...","SQL, MySQL, Data Science, Technical Architect, JavaEE, Power BI Specialist",https://topdev.vn/viec-lam/data-platform-manager-up-to-4-000-neyu-ltd-2026974
2733,"HOT Developer (.NET Core, Java, RESTful API, Oracle)",Ngân hàng Quốc Tế VIB,"Quận 1, Hồ Chí Minh",Thương lượng,Ngân Hàng,"Chịu trách nhiệm thiết kế, tích hợp, phát triển và vận hành cơ sở dữ liệu nền tảng Ngân hàng số đảm bảo ứng dụng hoạt động ổn định, hiệu quả.",".NET Core, ASP.NET Core, REST API, MS SQL",https://topdev.vn/viec-lam/developer-net-core-java-restful-api-oracle-ngan-hang-quoc-te-vib-2027004
2734,Unit Head of Mobile Application & Integration (Digital Bank),FE CREDIT,"Quận 4, Hồ Chí Minh",Thương lượng,Fintech,"Fe Credit was Founded as Consumer Finance Division of VPBank, FE Credit successfully transfered all consumer finance operations to the independent com...","Front-End, Software Architect, Flutter, CRM System, IT Manager, Mobile",https://topdev.vn/viec-lam/unit-head-of-mobile-application-integration-digital-bank-fe-credit-2026964
2735,Junior Tester,ELPIS BATTLE,"Quận Đống Đa, Hà Nội",Thương lượng,"Giải trí/ Game, Phần Mềm, Creative Production, Technology and Computer Sciences","Elpis Battle, dự án game blockchain tiềm năng được sự đầu tư của các quỹ đầu tư nổi tiếng trong lĩnh vực blockchain,..Với đội ngũ nhân sự vừa kinh ngh...",Game Tester,https://topdev.vn/viec-lam/junior-tester-elpis-battle-2027013
2736,Fresher/Junior/Senior PHP Developer,INNOCHEE,"Quận 1, Hồ Chí Minh","500 - 3,000 USD",Phần Mềm,,"PHP, JavaScript, Laravel, Full-Stack",https://topdev.vn/viec-lam/fresher-junior-senior-php-developer-innochee-2027016
2737,HOT Golang Developer - Upto $2000,SoBanHang,"Quận Bình Thạnh, Hồ Chí Minh - Quận Cầu Giấy, Hà Nội","Lên tới 2,000 USD",Phần Mềm,Finan is a Singapore - registered technology startup and the owner of the SoBanHang application. Founded by management executives from leading e-co...,"PHP, Golang, Python",https://topdev.vn/viec-lam/golang-developer-upto-2000-sobanhang-2027015
2738,Fresher/Junior/ Intern Mobile dev (React Native),BMD Solution,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Gia công phần mềm,,"Mobile, React Native",https://topdev.vn/viec-lam/fresher-junior-intern-mobile-dev-react-native-bmd-solution-2027014
2739,HOT Front-end Developer (ReactJS) Upto $2000,SoBanHang,"Quận Bình Thạnh, Hồ Chí Minh - Quận Cầu Giấy, Hà Nội","Lên tới 2,000 USD",Phần Mềm,Finan is a Singapore - registered technology startup and the owner of the SoBanHang application. Founded by management executives from leading e-co...,"CSS, HTML5, JavaScript, NodeJS, Front-End, ReactJS, TypeScript",https://topdev.vn/viec-lam/front-end-developer-reactjs-upto-2000-sobanhang-2027018
2740,IT Engineer,Punch Entertainment Vietnam,"Quận Cầu Giấy, Hà Nội",Thương lượng,Phần Mềm,"IT Engineers are responsible for all office IT system working smoothly and stably, including: office network, hard/software support, anti-virus, secur...","IT Helpdesk, IT Administrator",https://topdev.vn/viec-lam/it-engineer-punch-entertainment-vietnam-2027017
2741,HOT Backend .NET Developer,Groove Technology,"Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,"We are looking for qualified Back-end .NET to join our company. As part of our team, you will work closely with consultants and other members to impro...",".NET, Back-End",https://topdev.vn/viec-lam/backend-net-developer-groove-technology-2027020
2742,HOT Front-end Developer (React Native) Upto $2000,SoBanHang,"Quận Bình Thạnh, Hồ Chí Minh - Quận Cầu Giấy, Hà Nội","Lên tới 2,000 USD",Phần Mềm,Finan is a Singapore - registered technology startup and the owner of the SoBanHang application. Founded by management executives from leading e-co...,"Mobile, Front-End, React Native",https://topdev.vn/viec-lam/front-end-developer-react-native-upto-2000-sobanhang-2027019
2743,NHÂN VIÊN HỖ TRỢ KỸ THUẬT,Trung Tâm Công nghệ thông tin Mobifone,"Quận Cầu Giấy, Hà Nội","12,500,000 - 15,500,000 VND","Phần Mềm, Viễn Thông",,"IT Support, IT Helpdesk",https://topdev.vn/viec-lam/nhan-vien-ho-tro-ky-thuat-trung-tam-cong-nghe-thong-tin-mobifone-2027023
2744,HOT .Net Developer,CÔNG TY TNHH 9PMP VIỆT NAM,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Tư vấn giám sát & Quản lý dự án,Come work at 9PMP Company as a leading in the construction industry as well as real estate project management. We're pleased to have a microservices b...,"C#, .NET, Software, ASP.NET MVC",https://topdev.vn/viec-lam/net-developer-cong-ty-tnhh-9pmp-viet-nam-2027060
